TIME,TIME_LABEL,GEO,GEO_LABEL,SEX,AGE,UNIT,Value,Flag and Footnotes
2003,2003,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2282633,
2014,2014,RO32,Bucuresti - Ilfov,Total,Total,Number,2282968,
2015,2015,RO32,Bucuresti - Ilfov,Total,Total,Number,2284200,
2012,2012,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Total,Total,Number,2284847,
2006,2006,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2284882,
2000,2000,RO32,Bucuresti - Ilfov,Total,Total,Number,2285544,
2007,2007,RO41,Sud-Vest Oltenia,Total,Total,Number,2285733,
2017,2017,PL63,Pomorskie,Total,Total,Number,2285800,
2002,2002,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2286155,
2016,2016,UKE4,West Yorkshire,Total,Total,Number,2286357,
2017,2017,RO32,Bucuresti - Ilfov,Total,Total,Number,2287347,
2013,2013,TR52,"Konya, Karaman",Total,Total,Number,2287705,
2001,2001,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2287840,
2016,2016,RO32,Bucuresti - Ilfov,Total,Total,Number,2288203,
2008,2008,DEG,Thüringen,Total,Total,Number,2289219,
2008,2008,DEG0,Thüringen,Total,Total,Number,2289219,
1996,1996,PT16,Centro (PT),Total,Total,Number,2289462,
1999,1999,RO32,Bucuresti - Ilfov,Total,Total,Number,2289690,
1996,1996,NL41,Noord-Brabant,Total,Total,Number,2290424,
2007,2007,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2290746,
2008,2008,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",Total,Total,Number,2291124,
1994,1994,DE94,Weser-Ems,Total,Total,Number,2292247,
1999,1999,FRJ1,Languedoc-Roussillon,Total,Total,Number,2292405,
1999,1999,FR81,Languedoc-Roussillon (NUTS 2013),Total,Total,Number,2292405,
2000,2000,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2293410,
2018,2018,PL63,Pomorskie,Total,Total,Number,2294926,
2015,2015,UKI4,Inner London - East,Total,Total,Number,2294960,
2008,2008,TR72,"Kayseri, Sivas, Yozgat",Total,Total,Number,2295679,
1997,1997,PT16,Centro (PT),Total,Total,Number,2297278,
2011,2011,DEE,Sachsen-Anhalt,Total,Total,Number,2297386,b
2011,2011,DEE0,Sachsen-Anhalt,Total,Total,Number,2297386,b
1998,1998,RO32,Bucuresti - Ilfov,Total,Total,Number,2298422,
2013,2013,PT16,Centro (PT),Total,Total,Number,2298938,
2003,2003,LV,Latvia,Total,Total,Number,2299390,
