Year,RegionCode,RegionName,GDPPerHead,GDPTotal,NUTSLevel,IncomePerHead,IncomeTotal,Population,CountryOrOtherGrouping
2011,BE23,Prov. Oost-Vlaanderen,27900,40425091200,2,23971,34731890000,1448928,BE
2011,BE24,Prov. Vlaams-Brabant,32600,35491359200,2,27353,29778450000,1088692,BE
2011,BE25,Prov. West-Vlaanderen,29300,34222458600,2,22109,25822940000,1168002,BE
2011,BE31,Prov. Brabant wallon,32400,12430195200,2,25431,9756640000,383648,BE
2011,BE32,Prov. Hainaut,20100,26526874500,2,16900,22303200000,1319745,BE
2011,BE33,Prov. Liège,22700,24564487200,2,18231,19728400000,1082136,BE
2011,BE34,Prov. Luxembourg (BE),20300,5546061500,2,19713,5385620000,273205,BE
2011,BE35,Prov. Namur,21600,10354737600,2,19859,9519960000,479386,BE
2011,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2012,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,58500,67352044500,2,19787,22781320000,1151317,BE
2012,BE21,Prov. Antwerpen,37500,67030875000,2,23609,42200750000,1787490,BE
2012,BE22,Prov. Limburg (BE),26000,22140508000,2,21478,18289440000,851558,BE
2012,BE23,Prov. Oost-Vlaanderen,29000,42265412000,2,24833,36192520000,1457428,BE
2012,BE24,Prov. Vlaams-Brabant,34200,37492912800,2,28376,31108670000,1096284,BE
2012,BE25,Prov. West-Vlaanderen,30500,35770247500,2,22926,26887290000,1172795,BE
2012,BE31,Prov. Brabant wallon,34400,13301895200,2,26375,10198650000,386683,BE
2012,BE32,Prov. Hainaut,20500,27179289500,2,17374,23034570000,1325819,BE
2012,BE33,Prov. Liège,23100,25134509400,2,18780,20433730000,1088074,BE
2012,BE34,Prov. Luxembourg (BE),20000,5514260000,2,20316,5601470000,275713,BE
2012,BE35,Prov. Namur,22300,10764834400,2,20573,9931400000,482728,BE
2012,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2013,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,58000,67582064000,2,19843,23121470000,1165208,BE
2013,BE21,Prov. Antwerpen,37600,67627548000,2,23603,42451640000,1798605,BE
2013,BE22,Prov. Limburg (BE),26000,22235538000,2,21550,18429830000,855213,BE
2013,BE23,Prov. Oost-Vlaanderen,29200,42737528800,2,24986,36569430000,1463614,BE
2013,BE24,Prov. Vlaams-Brabant,34400,37940000800,2,28353,31270820000,1102907,BE
2013,BE25,Prov. West-Vlaanderen,30900,36335402700,2,23119,27185980000,1175903,BE
2013,BE31,Prov. Brabant wallon,35500,13820434000,2,26336,10252780000,389308,BE
2013,BE32,Prov. Hainaut,20500,27294827500,2,17418,23191590000,1331455,BE
2013,BE33,Prov. Liège,23100,25252712100,2,18875,20633850000,1093191,BE
2013,BE34,Prov. Luxembourg (BE),19900,5526031000,2,20576,5713720000,277690,BE
2013,BE35,Prov. Namur,22300,10812824000,2,20708,10040860000,484880,BE
2013,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
